ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
23893.0,0,1,2012.0,3.29,3.28,2.85,3.23,3.73,2.64,1,2,2,-0.7967968299486944,0.6089688983176494
40002.0,0,0,2012.0,3.42,3.67,3.17,3.68,3.21,2.69,1,2,2,-0.33048231589390037,0.36647109362847413
32972.0,0,1,2012.0,2.5,2.85,2.38,2.45,2.35,2.29,1,0,0,-3.1132462211087297,0.450578562535813
36440.0,0,0,2012.0,3.37,3.59,3.36,3.39,3.12,3.36,1,2,2,-0.24500309657219807,-0.07267303453821419
40727.0,0,0,2012.0,3.72,3.85,3.43,3.68,3.93,3.3,0,2,2,0.7382269743801798,0.07826415693575832
74956.0,0,0,2013.0,2.32,2.52,1.97,1.97,2.59,2.67,1,0,0,-3.625441065627992,0.43679675717959304
72281.0,0,1,2012.0,3.13,3.3,2.85,3.32,2.98,3.47,1,2,2,-0.938671450378086,-0.5152894396384059
94807.0,0,1,2012.0,3.17,3.5,3.02,2.94,3.16,3.21,1,2,2,-0.897266280686401,-0.6308675443880816
89200.0,0,0,2012.0,3.51,3.41,3.48,3.48,3.64,3.05,0,2,2,0.01125307758193103,-0.39606698671449664
96620.0,0,0,2013.0,1.91,2.13,1.84,2.23,1.7400000000000002,2.77,1,0,0,-4.490495572754288,0.03170286895356374
28959.000000000004,0,0,2012.0,2.84,3.33,2.8,2.9,2.42,2.66,1,0,0,-1.9583875059351532,0.31541254356386006
81977.0,0,0,2012.0,3.51,3.93,3.09,3.45,3.53,3.06,0,2,2,0.02475876473828339,-0.26749121389625385
47255.0,0,0,2012.0,3.4,3.15,3.46,3.55,3.32,3.36,1,2,2,-0.23817708058649875,-0.17752823638597645
44321.0,0,0,2012.0,3.76,3.83,3.94,3.9,3.34,3.13,0,2,2,0.7766383902261514,0.022205723273073043
25299.0,0,0,2012.0,4.04,4.3,4.06,4.26,3.56,3.26,0,1,1,1.6601116490903076,0.240016537051812
89035.0,0,1,2012.0,4.02,4.43,4.07,3.87,3.61,3.83,0,1,1,1.7640176291311485,-0.8277497983068317
88657.0,0,0,2012.0,2.88,2.96,3.09,2.87,2.67,3.21,1,0,0,-1.664920474664908,-0.6866767003315228
34754.0,0,0,2014.0,2.28,2.83,2.58,2.15,1.8,2.66,1,0,0,-3.4419907456426846,1.3895924626878235
52769.0,0,1,2013.0,2.98,2.73,3.47,2.13,3.25,2.08,1,0,0,-1.9932480630192047,0.9913338174732947
71184.0,0,0,2013.0,4.35,4.35,4.52,3.94,4.49,3.13,0,1,1,2.449228913902261,0.5325114392920554
62114.0,0,0,2013.0,3.17,2.9,3.23,3.06,3.46,2.5,1,2,2,-1.1599531894784032,0.8137295493474687
27991.0,0,0,2013.0,4.36,4.48,4.46,3.74,4.59,3.52,0,1,1,2.6021510593802137,0.7729056557579044
